Open,High,Low,Close,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,EMA_9,EMA_21,EMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,ADX_14,DMP_14,DMN_14,returns,vol_ratio,target
102565.40625,102765.6953125,101647.171875,102146.3046875,344428544,39.821431479508966,-413.733266723415,-21.26630509113079,-392.4669616322842,102324.93326595203,102705.7229876204,103271.92807994201,101475.24724851742,102802.734765625,104130.22228273259,2.5825918350013906,0.2527547077974494,534.5535714285714,48.19240757389799,0.0,0.0,-0.003794042937335207,1.7416906758685256,1
102126.9921875,102352.296875,101450.0703125,101945.0546875,0,37.66290611966729,-421.23491986328736,-23.01436658480253,-398.22055327848483,102248.95755026164,102636.57132397308,103219.89382925801,101381.40609063825,102729.63984375,104077.87359686175,2.6248193903188834,0.20903222292159507,572.9754464285714,50.31546753138567,0.0,0.0,-0.0019702132212779944,0.0,1
101967.609375,103258.15625,101967.609375,103227.4765625,0,54.56414965874988,-320.0104253733007,62.56810232414739,-382.57852769744807,102444.66135270931,102690.28998202099,103220.19119134593,101383.83478267094,102726.0484375,104068.26209232905,2.6131904716371532,0.6867914706410384,609.9313616071429,48.28167113546083,0.0,0.0,0.012579539821044872,0.0,0
103270.8125,103791.21875,103062.40625,103783.046875,739106816,59.66608847232336,-192.73764350368583,151.87270735500982,-344.61035085869565,102712.33845716745,102789.63151774635,103242.26396325394,101362.85922358168,102736.964453125,104111.06968266831,2.674996748945742,0.8806413072973566,642.7360491071429,44.756032906650596,0.0,0.0,0.005382000325888203,3.571890214149908,0
103813.953125,104148.5859375,103693.2421875,103981.28125,610713600,61.33443243319248,-75.0124922553805,215.67828688265217,-290.69077913803267,102966.12701573397,102897.96331158759,103271.24503332241,101324.45578460564,102754.567578125,104184.67937164436,2.7835488528177352,0.9288873350439891,651.5569196428571,41.8653451427423,0.0,0.0,0.0019100843631885134,2.5718713857315474,0
103979.34375,103979.34375,102679.7109375,102679.7109375,251060224,47.45502782510435,-85.75181472742406,163.9511715284869,-249.70298625591096,102908.84380008718,102878.12218667055,103248.04761779997,101327.88078010244,102712.977734375,104098.07468864757,2.6970242413856416,0.4879911666932824,729.2985491071429,39.9721231921756,0.0,0.0,-0.012517352131588555,1.0583678818656035,1
102701.4296875,103219.03125,102643.234375,103219.03125,1775292416,52.27431174002028,-50.16588216589298,159.6296832720144,-209.79556543790738,102970.88129006975,102909.1139197005,103246.9097210235,101345.04642027793,102696.987890625,104048.92936097206,2.6328746307280637,0.6930717308497785,733.2248883928571,37.24353942859867,0.0,0.0,0.0052524525787600584,5.446030803640145,0
103185.015625,103484.8671875,102941.625,103468.40625,162799616,54.35879892471943,-1.8203124135325197,166.3802024194999,-168.20051483303243,103070.38628205581,102959.95867700045,103255.59585941474,101379.06686781993,102680.08046875,103981.09406968008,2.534110988208724,0.8029660030788421,739.2940848214286,33.7528162647779,0.0,0.0,0.0024159788847077923,0.4874883788245626,0
103454.640625,103454.640625,102777.46875,103267.3359375,1374232576,52.37256411143134,20.03821801824961,150.59098628102564,-130.55276826277603,103109.77621314467,102987.9020643186,103256.05625463378,101373.50577549744,102690.312890625,104007.12000575257,2.5646179820877375,0.7190993047676141,740.67578125,30.871928321857638,0.0,0.0,-0.001943301533167241,3.4128220125626223,1
103276.171875,103947.8515625,103276.171875,103521.234375,0,54.627084575258735,57.18949792328931,150.19381294885227,-93.00431502556296,103192.06784551573,103036.38681983508,103266.45539660893,101353.91076893636,102712.6828125,104071.45485606365,2.64577266673884,0.7975302466407145,753.1925223214286,28.378621465697744,0.0,0.0,0.0024586519560616527,0.0,0
103514.1328125,103868.5390625,103289.3828125,103735.65625,1656754176,56.499842131960996,102.74977280134044,156.6032702615227,-53.85349746018228,103300.7855264126,103099.95676803189,103284.85543007524,101326.54996797744,102760.425,104194.30003202257,2.7907144837568865,0.8400684258461406,739.0864955357143,24.648112412366846,0.0,0.0,0.0020712839862715438,3.4894018996350837,0
103752.484375,104001.734375,103702.796875,103732.1640625,0,56.458969654006665,136.99562821516884,152.6793005402809,-15.683672325112056,103387.06123363008,103157.43015843807,103302.3969450723,101304.09431795351,102801.838671875,104299.58302579648,2.913847404426332,0.8105754958078016,740.1294642857143,21.044855077099474,0.0,0.0,-3.366429274409555e-05,0.0,0
103747.3203125,104067.109375,103496.921875,104028.8984375,1242583040,59.16230512846876,185.93634110958374,161.29601074775664,24.6403303618271,103515.42867440407,103236.6545474437,103330.88719967731,101304.01309486132,102883.8609375,104463.70878013867,3.071128607038571,0.8623885380276739,732.2109375,18.753457224095165,0.0,0.0,0.0028605821317022606,2.4392283462351023,0
104057.6953125,104416.515625,103955.4296875,104182.0,0,60.524154663605394,234.3745018831687,167.7873372170733,66.58716466609543,103648.74293952328,103322.59504313064,103364.26417223898,101331.47087585929,102981.2640625,104631.05724914072,3.204064742571903,0.8639049873714518,729.9598214285714,17.629688116204225,0.0,0.0,0.0014717214620125763,0.0,0
104183.0234375,104309.265625,104033.7421875,104033.7421875,1226321920,58.49005338351455,257.82685930539446,152.99175571143923,104.83510359395524,103725.74278911864,103387.24478352786,103390.51821205314,101473.48634289551,103091.95859375,104710.43084460447,3.139861290699352,0.7909483289728282,669.7455357142857,16.84811365151961,0.0,0.0,-0.0014230655247547963,2.396816679689001,0
104041.1328125,104178.3046875,103834.359375,103916.515625,950448128,56.86276348519779,263.911608889146,127.26120423615262,136.6504046529934,103763.89735629492,103435.36031457077,103411.14556158047,101555.31731403127,103171.527734375,104787.73815471874,3.1330551283583254,0.7304736689132814,629.8683035714286,15.118180280316166,0.0,0.0,-0.0011268128977685032,1.699752592649566,0
103922.8828125,104136.6796875,103873.4921875,103933.5,0,57.04921342853871,267.02620205146377,104.30063791877629,162.72556413268748,103797.81788503594,103480.64574051888,103431.63004936163,101740.47727863265,103273.2859375,104806.09459636734,2.9684514150057897,0.7153608862660853,554.8744419642857,14.915850132370128,0.0,0.0,0.00016344249898914143,0.0,0
103919.4375,104092.21875,103916.75,103987.6796875,0,57.67763555478543,270.74540308117867,86.41587115879292,184.32953192238574,103835.79024552875,103526.73973569898,103453.43591752392,101999.66470679671,103384.934375,104770.20404320328,2.679828887212144,0.7175552263703907,515.3498883928571,14.80639661201222,0.0,0.0,0.000521291859698847,0.0,0
103987.140625,104147.015625,103732.0546875,103732.0546875,478277632,53.686495957796986,250.18215143115958,52.68209560701905,197.50005582414053,103815.04313392301,103545.40473131725,103464.36214379751,102145.18386325946,103452.82109375,104760.45832424054,2.5279875728193897,0.6067702827814305,512.4654017857143,15.5013685799559,0.0,0.0,-0.002458223904679868,0.8847147712218235,0
